@relation R_data_frame

@attribute att6 numeric
@attribute att9 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att22 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att28 numeric
@attribute att33 numeric
@attribute att35 numeric
@attribute att37 numeric
@attribute att40 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att45 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att59 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att65 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att76 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att84 numeric
@attribute att86 numeric
@attribute att88 numeric
@attribute att91 numeric
@attribute att94 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att102 numeric
@attribute att105 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att129 numeric
@attribute att133 numeric
@attribute att136 numeric
@attribute att138 numeric
@attribute att143 numeric
@attribute att146 numeric
@attribute att148 numeric
@attribute att154 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att162 numeric
@attribute att166 numeric
@attribute att169 numeric
@attribute att174 numeric
@attribute att176 numeric
@attribute att178 numeric
@attribute att179 numeric
@attribute att183 numeric
@attribute att186 numeric
@attribute att188 numeric
@attribute att190 numeric
@attribute att192 numeric
@attribute att199 numeric
@attribute att202 numeric
@attribute att203 numeric
@attribute att204 numeric
@attribute att205 numeric
@attribute att207 numeric
@attribute att209 numeric
@attribute att210 numeric
@attribute att213 numeric
@attribute att218 numeric
@attribute att223 numeric
@attribute att224 numeric
@attribute att225 numeric
@attribute att228 numeric
@attribute att230 numeric
@attribute att234 numeric
@attribute att240 numeric
@attribute att242 numeric
@attribute att243 numeric
@attribute att244 numeric
@attribute att247 numeric
@attribute att248 numeric
@attribute att249 numeric
@attribute outlier string

@data
8001,18829,35,5205,0.53,5535,25,0.88,0.37,82,8.6,42,323,6841,7541,0.5,74,386,1.5,91,2718,73,5.4,3.6,8931,4.9,81348,0.557,552,0.53,0.88,3.43,83416,5365,78968,0.505,5.5,2.82,6,3702,0.48,0.22,61,0.63,8.01,3.4,0.478,0.181,0.399,4384,5.6,4263,6.5,0.45,43.8,2075,0.637,2.8,4776,46,62.1,9,0.49,0.795,0.64,0.32,8.1,1.5,51,883,6.55,257,80,0.575,23.3,54.4,0.54,51.4,59385,196,88390,87.2,0.85,5.6,26.3,3.6,65918,1.16,38429,0.161,702,415,0.115,4553,60,40081,2.54,7139,6686,0.79,63140,96211,3,98305,8.88,no
7972,29496,52,4122,0.907,7323,36,0.78,0.36,36,8.84,22,597,5140,6988,0.24,79,385,2.6,88,2903,73.9,6.2,5.8,8062,4.6,66020,0.538,287,0.4,0.88,3.47,76250,5246,89792,0.479,8.09,1.84,8.9,3500,0.52,0.273,57.4,0.82,5.63,1.6,0.579,0.469,0.284,5429,5.67,4436,6,0.368,45,8429,0.629,8.4,3710,82,64.2,9.1,0.71,0.523,0.63,0.59,8.3,5.92,55,913,6.2,321,86,0.621,40.9,54.1,0.63,53.4,28312,228,87726,87.8,0.78,5.5,51.9,4.8,55433,0.72,38585,0.177,692,540,0.053,4665,72,36320,0.45,7105,8055,0.29,54895,92489,3.6,94670,3.5,no
7948,20596,39,1488,0.837,7294,40,0.63,0.38,41,8.4,24,291,6448,7211,0.47,60,378,3.3,93,3854,68.5,6.6,1.9,8944,2.3,71349,0.555,325,0.09,0.54,2.85,83690,4789,71884,0.447,4.97,2.3,8.7,4136,0.47,0.232,46,0.71,6.4,3.8,0.395,0.143,0.274,4668,4.45,4841,2.6,0.36,40.9,9011,0.635,9.3,5827,81,62.7,6.1,0.66,0.738,0.62,0.44,8.2,2.01,53,863,6.07,249,86,0.599,83.4,53.9,0.66,70.7,79493,379,89500,87.5,0.76,6.4,27.5,5.5,55441,1.53,73301,0.171,793,538,0.076,6176,63,41711,3.16,7119,6972,0.78,43928,92353,4.1,95432,8.27,no
7869,29432,41,2865,0.847,3388,32,0.49,0.53,73,8.4,19,309,6630,7455,0.62,55,376,1.8,87,2772,68.7,4.9,2,8694,4.2,78812,0.539,292,0.32,0.51,3.19,76615,4280,88320,0.523,8.83,2.83,8.3,3366,0.48,0.232,35.2,0.87,7.71,3.4,0.571,0.339,0.288,3814,4.46,4175,5.6,0.679,47.4,4087,0.621,8.9,4159,77,61.9,1.4,0.88,0.175,0.44,0.18,9,5.46,24,872,6.05,292,87,0.591,40.9,50.7,0.57,74.7,60960,133,89447,87.6,0.8,5.1,52.2,0.8,69195,6.48,84448,0.154,779,330,0.08,6739,65,37458,1.7,7123,7279,0.31,58400,93222,2.2,97738,2.38,no
7727,26556,33,4879,0.418,3521,36,0.63,0.33,33,8.54,30,325,4422,7074,0.48,88,375,0.6,42,3042,74,3.6,1.9,8567,5.2,39490,0.512,538,0.47,0.51,3.17,83872,5276,92012,0.523,8,2.69,8.8,3420,0.37,0.212,35.5,0.76,6.15,2.7,0.577,0.474,0.348,4587,5.69,4800,2.6,0.46,42.6,3458,0.627,6.8,5728,82,66.7,2.8,0.22,0.198,0.4,0.2,7.5,5.85,51,876,5.75,282,87,0.576,38.7,61.8,0.35,70.8,38292,241,90623,87.5,0.63,4.4,36,5.5,69184,6.84,73714,0.131,791,412,0.055,4820,38,35761,5.18,7045,7687,0.45,54571,96210,3.6,97565,4.66,no
7991,29494,32,4976,0.869,3818,13,0.78,0.33,35,8.51,45,780,4750,7067,0.38,93,372,1.7,86,2823,72.2,6.7,5.8,8805,4.4,68289,0.539,400,0.48,0.81,2.98,74825,4992,71243,0.44,7.49,2.24,7.1,3332,0.36,0.065,27.4,0.82,6.3,1.3,0.504,0.187,0.314,9166,4.82,4905,5.5,0.378,40.7,7522,0.587,1.9,4252,45,62.3,0.8,0.94,0.14,0.58,0.56,7.7,2.19,53,919,7.19,235,87,0.757,70.5,62.8,0.7,70.6,28319,385,29160,87.6,0.64,4.4,50.5,2.5,55415,6.79,92972,0.171,817,367,0.109,6303,80,43496,7.45,7127,7867,0.44,56742,96224,1.9,97773,7.03,no
7546,27975,27,4981,0.818,4463,60,0.57,0.5,30,8.54,60,750,4505,7409,0.44,68,407,0.6,70,2715,67.2,3,2.8,8367,3.9,59119,0.538,310,0.21,0.53,3.44,76628,5932,81522,0.538,4.97,1.96,4.5,3863,0.53,0.239,57.4,0.8,6.31,2.2,0.488,0.465,0.32,8710,4.42,4153,5.7,0.678,47.7,8587,0.716,8.8,4007,55,63.8,0.5,0.4,0.309,0.39,0.2,8.3,5.52,32,916,6.18,256,82,0.576,63.3,75.7,0.35,58.9,78440,214,21059,87.6,0.54,5.1,29.5,1.7,65943,6.28,59664,0.351,690,464,0.121,6561,43,37293,7,7068,7923,0.31,47244,96221,4,89160,5.87,no
8032,25937,35,5395,0.442,6349,23,0.88,0.28,65,8.59,51,295,6292,7536,0.48,54,407,1.8,92,3087,68.5,6.6,1.9,8426,3.7,34651,0.543,364,0.38,0.88,3.19,76347,5362,71824,0.468,5.5,2.41,4.9,4141,0.36,0.263,47.4,0.82,7.49,1.2,0.397,0.473,0.428,5140,5.65,4792,4,0.51,45.7,2637,0.636,8.8,5881,76,62.8,9,0.72,0.605,0.31,0.32,3.9,2.54,28,857,5.85,244,82,0.602,77.8,54,0.35,69,75823,210,88744,85.7,0.78,5.7,37.7,3.4,68778,4.16,92170,0.164,772,404,0.082,6721,68,36147,6.43,7117,6553,0.29,54933,93056,0.9,92977,2.58,no
7525,18224,72,5084,0.714,3866,24,0.61,0.38,45,8.51,43,252,4522,7516,0.64,67,417,1.4,75,2816,69.6,3,2.1,8802,5.1,80082,0.543,171,0.53,0.6,3.17,78116,5242,87281,0.583,4.94,2.16,8.8,3294,0.48,0.251,57.4,0.62,8.05,3.9,0.569,0.484,0.457,8848,4.71,4882,5.2,0.672,51.7,8500,0.681,9.3,4077,82,62.2,1.4,0.94,0.577,0.43,0.61,8.5,2.32,58,877,6.86,296,62,0.575,61.9,54.4,0.35,68.6,72711,408,19567,87,0.77,6,50.9,5.5,69186,6.79,63866,0.18,781,408,0.072,6331,29,36754,5.11,7074,7995,0.78,49534,93833,4.4,96283,5.64,no
8153,19712,54,2971,0.911,3504,14,0.64,0.31,55,8.92,23,382,6070,7730,0.66,75,369,3.7,87,3015,68.4,5.2,3.5,8393,3,71742,0.535,560,0.16,0.6,3.16,78950,4691,68366,0.498,4.97,2.52,8.5,3490,0.37,0.249,26.1,0.71,5.49,4.3,0.58,0.099,0.404,9246,4.62,3949,5.3,0.456,44.6,7136,0.567,8.7,4030,82,62.1,5.7,0.84,0.292,0.71,0.45,9.4,2.53,28,856,6.05,250,82,0.597,73.7,51.2,0.49,65.1,33048,235,58372,84.5,0.53,5.6,27.5,5.5,62299,1.08,59650,0.183,780,410,0.11,6175,57,40922,8.41,7123,7337,0.63,40273,93728,1.6,97287,6.91,no
8137,19588,56,4674,0.588,7084,21,0.55,0.39,34,8.55,19,166,4694,7294,0.37,68,403,1.3,82,3017,71.1,5,4.7,7526,2,70204,0.621,478,0.21,0.53,2.85,78496,5113,78699,0.49,8.36,2.32,8.8,3580,0.48,0.197,61.1,0.76,7.55,3.1,0.588,0.273,0.288,5264,4.46,4890,2.1,0.459,46.4,9050,0.636,8.9,5591,78,63.2,5.6,0.67,0.571,0.26,0.55,8.1,5.9,49,863,6.05,251,72,0.582,62.3,52.7,0.77,75.6,89127,130,86414,89.1,0.81,5.6,27.4,2.6,66232,4.1,59426,0.155,860,340,0.11,6739,58,37969,8.87,7042,7280,0.81,40259,94457,5.2,96648,2.61,no
7784,29255,37,5473,0.646,5611,27,0.75,0.31,33,8.55,23,348,7018,7218,0.35,54,414,1.3,53,3748,69.8,4.8,1.9,8340,4.9,78790,0.539,461,0.46,0.89,2.94,75072,5940,59379,0.513,8.81,2.66,7.6,3645,0.48,0.106,32.6,0.88,7.69,4.2,0.448,0.311,0.309,5253,5.49,4789,5.5,0.672,53.2,2252,0.62,8,5503,76,62.4,0.1,0.7,0.824,0.62,0.16,8.3,1.28,55,899,7.17,320,58,0.713,61,54.5,0.9,54.1,82638,214,90213,89.2,0.59,5.4,34.3,2.9,62595,0.8,40370,0.168,692,403,0.11,6696,56,37131,0.8,7121,8265,0.27,47537,92946,5.5,98300,2.9,no
7719,19581,63,1180,0.541,3475,30,0.41,0.34,32,8.55,42,543,5449,7394,0.44,95,379,3.6,92,2866,71.9,6.2,2,8644,4.6,76870,0.539,448,0.37,0.51,3.17,86170,5847,64073,0.494,7.39,2.2,8.8,3592,0.47,0.021,22.4,0.77,7.71,3.8,0.397,0.457,0.39,4909,4.43,4810,5.7,0.614,41.5,6293,0.57,2.9,5751,47,62.7,6.1,0.9,0.151,0.74,0.59,3.7,6.58,53,934,6.04,251,85,0.637,71.2,82.7,0.35,58.1,51267,268,32542,84.1,0.68,5.2,29.7,5.5,68489,6.03,38610,0.161,808,422,0.072,5815,57,32462,0.43,7075,6654,0.34,44822,96226,1.6,96739,4.92,no
7920,28913,64,1620,0.911,6847,56,0.54,0.27,73,8.96,22,548,6595,7714,0.28,69,477,2.9,54,4996,66.7,5,1.9,8450,4.1,29994,0.52,155,0.35,0.51,3.18,86401,5787,92553,0.519,4.88,2.1,5,3993,0.36,0.107,41.5,0.78,7.59,1.2,0.485,0.106,0.284,4004,5.62,4524,5.8,0.574,49.3,1969,0.651,0.9,3364,78,64.1,9.1,0.93,0.59,0.59,0.3,7,0.99,31,931,6.04,249,82,0.581,63.9,52.8,0.43,70.9,83106,211,74689,85.1,0.56,5.9,35.5,3.6,62734,2.5,50518,0.114,696,401,0.117,6315,80,42079,2.34,7075,7484,0.78,51831,92348,1.8,98313,4.04,no
7745,29664,32,3177,0.873,3996,14,0.9,0.32,64,8.52,63,341,4971,7718,0.5,78,472,3.7,83,3049,72.3,4.9,3.3,7643,2.1,54061,0.56,583,0.15,0.59,3.15,76881,5866,68908,0.491,8.01,2.66,4.6,3704,0.49,0.215,24.5,0.81,7.43,3,0.579,0.391,0.273,3831,5.17,4880,0.8,0.586,40.3,8040,0.674,3.4,5155,66,62.2,5.8,0.87,0.238,0.79,0.21,7.7,6.19,29,929,6.12,358,49,0.651,63.1,53.9,0.47,55.5,84876,277,89348,84.1,0.79,4.7,27.8,4.8,69188,6.82,92261,0.132,773,410,0.08,4775,21,32455,2.12,7080,7477,0.33,45252,93935,4.2,91760,2.5,no
8167,29395,35,3327,0.451,3928,38,0.61,0.47,32,8.63,61,801,6622,7649,0.26,62,408,1.1,77,3037,72,3.3,1.9,8638,4.2,73526,0.556,274,0.52,0.75,3.16,75207,5940,86932,0.568,6.42,2.38,4.9,3671,0.52,0.233,46.7,0.92,8.01,4.1,0.59,0.471,0.28,5317,4.46,4824,6.5,0.456,49.9,5312,0.635,7.2,5289,75,62.8,5.9,0.91,0.194,0.64,0.17,8.3,1.53,38,851,7.17,323,87,0.581,86.2,53.3,0.47,82.4,31116,293,90829,88,0.8,3.9,52.4,3.7,66137,6.75,62411,0.164,815,409,0.109,4561,59,36048,6.78,7067,7456,0.8,40274,92581,0.8,98154,5.84,no
7878,29654,72,3992,0.53,7096,41,0.75,0.27,75,8.55,40,234,7085,7672,0.48,73,375,1,93,4448,71.7,5.4,4,8589,4.2,71857,0.543,337,0.14,0.65,3.01,77887,4978,86761,0.505,8.03,2.79,5.2,3738,0.47,0.233,32.2,0.83,5.51,2.9,0.394,0.291,0.393,5010,4.44,4881,3.3,0.612,41.7,7939,0.576,5.6,4125,81,62,5.6,0.81,0.732,0.67,0.38,7.8,1.6,46,868,6.92,220,61,0.577,61.6,61.3,0.88,72.2,55527,175,87621,84.7,0.77,4.1,27.9,5.3,62442,0.92,93607,0.141,701,406,0.124,4581,27,42020,2.83,7135,7940,0.3,46935,94247,5.2,96368,3.86,no
8049,29048,36,5485,0.694,4336,62,0.63,0.4,41,8.56,20,237,3756,7729,0.38,93,370,0.7,39,2996,67.1,5,1.9,8516,4.7,81002,0.542,688,0.55,0.89,2.85,79446,5573,77762,0.526,5.56,2.56,6.1,3615,0.47,0.222,60.4,0.8,5.92,3.4,0.449,0.464,0.286,4496,5.64,3992,4.7,0.38,51.5,2521,0.599,1.7,5257,82,67,0.6,0.54,0.676,0.57,0.28,8.4,1.82,49,879,7.09,325,66,0.577,86.1,54.1,0.83,79.9,48640,351,87761,87.5,0.81,6,27.7,4.7,66289,6.96,72248,0.337,687,415,0.111,6333,52,34471,0.59,7067,8024,0.3,54022,92591,2,96926,5.14,no
7792,29675,70,4984,0.46,3215,34,0.74,0.38,31,8.39,58,127,3545,7368,0.64,76,412,2.1,86,3101,72.8,3.3,3.5,8712,4.3,75613,0.625,489,0.32,0.82,3.06,76481,5932,68586,0.439,8.81,2.76,8.5,3278,0.36,0.066,22.8,0.8,7.36,1.9,0.585,0.473,0.384,4015,5.67,4428,5.9,0.603,46.4,8125,0.631,8.1,4135,46,62.3,6.1,0.87,0.828,0.43,0.16,8.3,4.7,22,871,6.22,248,81,0.584,43.4,67.6,0.57,72.4,89240,216,19619,84.5,0.51,5.8,26.1,3.6,69182,4.96,38595,0.182,783,429,0.096,6366,59,35740,6.73,7099,7509,0.42,58296,94057,1.4,97036,8.15,no
7754,22164,34,4980,0.845,3581,36,0.65,0.36,60,8.58,44,925,3642,7273,0.38,61,479,1.2,85,3055,72.8,5.2,5.8,8880,5.2,61562,0.614,396,0.17,0.82,3.42,74882,5932,63459,0.491,4.95,2.73,8.4,4095,0.48,0.231,67.4,0.82,7.88,3.8,0.577,0.485,0.275,4516,4.45,4863,3.5,0.589,48.3,8982,0.612,8,5808,77,63.4,9,0.19,0.61,0.29,0.36,3.9,5.04,49,873,6.73,348,56,0.573,79.8,54,0.88,71.2,80038,212,90952,84.3,0.68,6,27,4.2,69185,6.11,82839,0.178,689,416,0.109,5987,58,41488,1.73,7123,6982,0.57,40258,95680,4,98635,6.02,no
7822,27903,34,1430,0.75,6962,65,0.61,0.38,32,8.58,48,205,6673,7607,0.23,59,391,1.4,73,3065,74,6.5,2.7,8489,5.2,68981,0.524,641,0.2,0.54,2.85,81358,4650,60726,0.468,7.92,2.71,8.8,3698,0.45,0.226,58.7,0.9,7.2,3.4,0.586,0.477,0.276,9708,5.69,4460,5.5,0.457,43.6,9070,0.572,5.3,4020,61,61.9,4.5,0.8,0.195,0.33,0.55,8,4.01,22,908,6.18,347,82,0.598,43.2,81.9,0.87,74.5,78066,259,33270,84.2,0.81,3.5,50.6,5.5,65077,3.61,56042,0.164,700,409,0.111,6739,78,43136,1.55,7137,7302,0.81,40271,94912,4.1,98409,6.95,no
7827,28010,64,1271,0.689,5620,32,0.61,0.27,51,8.56,25,221,4613,7700,0.51,62,416,3.5,93,4829,74.1,4.9,5.4,8439,4.4,63273,0.572,262,0.09,0.54,3.15,75956,5766,82217,0.447,8.89,2.43,8.9,3717,0.47,0.26,46.4,0.86,5.72,4.1,0.579,0.128,0.277,7967,5.21,4780,5.3,0.607,53.2,7884,0.706,9.2,4463,63,61.8,6,0.55,0.263,0.57,0.39,4.2,1.1,25,850,5.74,344,41,0.576,63.2,62.8,0.77,69.8,87338,268,89917,83.3,0.52,5.9,42.8,5.2,65840,0.89,55247,0.162,727,332,0.049,4641,59,34951,1.48,7136,7281,0.37,62829,92663,3.6,98262,8.53,no
